type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
PAYMENT,9839.64,C1231006815,170136,160296.36,M1979787155,0,0,0,0
PAYMENT,1864.28,C1666544295,21249,19384.72,M2044282225,0,0,0,0
PAYMENT,11668.14,C2048537720,41554,29885.86,M1230701703,0,0,0,0
PAYMENT,7817.71,C90045638,53860,46042.29,M573487274,0,0,0,0
PAYMENT,7107.77,C154988899,183195,176087.23,M408069119,0,0,0,0
PAYMENT,7861.64,C1912850431,176087.23,168225.59,M633326333,0,0,0,0
PAYMENT,4024.36,C1265012928,2671,0,M1176932104,0,0,0,0
DEBIT,5337.77,C712410124,41720,36382.23,C195600860,41898,40348.79,0,0
DEBIT,9644.94,C1900366749,4465,0,C997608398,10845,157982.12,0,0
PAYMENT,3099.97,C249177573,20771,17671.03,M2096539129,0,0,0,0
PAYMENT,2560.74,C1648232591,5070,2509.26,M972865270,0,0,0,0
PAYMENT,11633.76,C1716932897,10127,0,M801569151,0,0,0,0
PAYMENT,4098.78,C1026483832,503264,499165.22,M1635378213,0,0,0,0
CASH_OUT,229133.94,C905080434,15325,0,C476402209,5083,51513.44,0,0
PAYMENT,1563.82,C761750706,450,0,M1731217984,0,0,0,0
PAYMENT,1157.86,C1237762639,21156,19998.14,M1877062907,0,0,0,0
PAYMENT,671.64,C2033524545,15123,14451.36,M473053293,0,0,0,0
TRANSFER,215310.3,C1670993182,705,0,C1100439041,22425,0,0,0
PAYMENT,1373.43,C20804602,13854,12480.57,M1344519051,0,0,0,0
DEBIT,9302.79,C1566511282,11299,1996.21,C1973538135,29832,16896.7,0,0
DEBIT,1065.41,C1959239586,1817,751.59,C515132998,10330,0,0,0
PAYMENT,3876.41,C504336483,67852,63975.59,M1404932042,0,0,0,0
TRANSFER,311685.89,C1984094095,10835,0,C932583850,6267,2719172.89,0,0
PAYMENT,6061.13,C1043358826,443,0,M1558079303,0,0,0,0
PAYMENT,9478.39,C1671590089,116494,107015.61,M58488213,0,0,0,0
PAYMENT,8009.09,C1053967012,10968,2958.91,M295304806,0,0,0,0
PAYMENT,8901.99,C1632497828,2958.91,0,M33419717,0,0,0,0
PAYMENT,9920.52,C764826684,0,0,M1940055334,0,0,0,0
PAYMENT,3448.92,C2103763750,0,0,M335107734,0,0,0,0
PAYMENT,4206.84,C215078753,0,0,M1757317128,0,0,0,0
PAYMENT,5885.56,C840514538,0,0,M1804441305,0,0,0,0
PAYMENT,5307.88,C1768242710,0,0,M1971783162,0,0,0,0
PAYMENT,5031.22,C247113419,0,0,M151442075,0,0,0,0
PAYMENT,24213.67,C1238616099,0,0,M70695990,0,0,0,0
PAYMENT,8603.42,C1608633989,253,0,M1615617512,0,0,0,0
PAYMENT,2791.42,C923341586,300481,297689.58,M107994825,0,0,0,0
PAYMENT,7413.54,C1470868839,297689.58,290276.03,M1426725223,0,0,0,0
PAYMENT,3295.19,C711197015,233633,230337.81,M1384454980,0,0,0,0
PAYMENT,1684.81,C1481594086,297,0,M1569435561,0,0,0,0
DEBIT,5758.59,C1466917878,32604,26845.41,C1297685781,209699,16997.22,0,0
CASH_OUT,110414.71,C768216420,26845.41,0,C1509514333,288800,2415.16,0,0
PAYMENT,7823.46,C260084831,998,0,M267814113,0,0,0,0
PAYMENT,5086.48,C598357562,0,0,M1593224710,0,0,0,0
PAYMENT,5281.48,C1440738283,152019,146737.52,M1849015357,0,0,0,0
PAYMENT,13875.98,C484199463,15818,1942.02,M2008106788,0,0,0,0
CASH_OUT,56953.9,C1570470538,1942.02,0,C824009085,70253,64106.18,0,0
CASH_OUT,5346.89,C512549200,0,0,C248609774,652637,6453430.91,0,0
PAYMENT,2204.04,C1615801298,586,0,M490391704,0,0,0,0
PAYMENT,2641.47,C460570271,23053,20411.53,M1653361344,0,0,0,0
CASH_OUT,23261.3,C2072313080,20411.53,0,C2001112025,25742,0,0,0
PAYMENT,2330.64,C816944408,203543,201212.36,M909132503,0,0,0,0
PAYMENT,1614.64,C912966811,41276,39661.36,M1792384402,0,0,0,0
PAYMENT,9164.71,C1458621573,47235.77,38071.06,M1658980982,0,0,0,0
PAYMENT,2970.97,C46941357,38071.06,35100.09,M1152606315,0,0,0,0
PAYMENT,38.66,C343345308,16174,16135.34,M1714688478,0,0,0,0
PAYMENT,2252.44,C104716441,1627,0,M1506951181,0,0,0,0
TRANSFER,62610.8,C1976401987,79114,16503.2,C1937962514,517,8383.29,0,0
DEBIT,5529.13,C867288517,8547,3017.87,C242131142,10206,0,0,0
CASH_OUT,82940.31,C1528834618,3017.87,0,C476800120,132372,49864.36,0,0
DEBIT,4510.22,C280615803,10256,5745.78,C1254526270,10697,0,0,0
DEBIT,8727.74,C166694583,882770,874042.26,C1129670968,12636,0,0,0
PAYMENT,2599.46,C885910946,874042.26,871442.79,M1860591867,0,0,0,0
DEBIT,4874.49,C811207775,153,0,C1971489295,253104,0,0,0
PAYMENT,6440.78,C1161148117,2192,0,M516875052,0,0,0,0
PAYMENT,4910.14,C1131592118,41551,36640.86,M589987187,0,0,0,0
PAYMENT,6444.64,C1262609629,12019,5574.36,M587180314,0,0,0,0
DEBIT,5149.66,C1955990522,4782,0,C1330106945,52752,24044.18,0,0
PAYMENT,7292.16,C69673470,216827,209534.84,M1082411691,0,0,0,0
CASH_OUT,47458.86,C527211736,209534.84,162075.98,C2096057945,52120,0,0,0
CASH_OUT,136872.92,C1533123860,162075.98,25203.05,C766572210,217806,0,0,0
CASH_OUT,94253.33,C1718906711,25203.05,0,C977993101,99773,965870.05,0,0
